# PostgreSQL 특화 Oracle Function 변환 목록
# PostgreSQL에서 변환이 복잡하거나 특별한 처리가 필요한 함수들

# 계층형 쿼리 관련 (PostgreSQL에서 WITH RECURSIVE로 변환 필요)
CONNECT_BY|CONNECT\s+BY
START_WITH|START\s+WITH
PRIOR|PRIOR\s+
LEVEL|LEVEL
SYS_CONNECT_BY_PATH|SYS_CONNECT_BY_PATH\s*\(
CONNECT_BY_ROOT|CONNECT_BY_ROOT\s+
CONNECT_BY_ISLEAF|CONNECT_BY_ISLEAF
CONNECT_BY_ISCYCLE|CONNECT_BY_ISCYCLE

# ROWNUM 관련 (PostgreSQL에서 ROW_NUMBER() 또는 LIMIT 사용)
ROWNUM|ROWNUM
CASE_WHEN_ROWNUM|CASE\s+WHEN\s+ROWNUM
ROWNUM_EQUALS|ROWNUM\s*=
ROWNUM_LESS_EQUAL|ROWNUM\s*<=

# DECODE 함수 (PostgreSQL에서 CASE WHEN으로 변환)
DECODE|DECODE\s*\(

# Oracle 특화 함수들 (PostgreSQL 대체 함수 존재)
LISTAGG|LISTAGG\s*\(
WMSYS_WM_CONCAT|WMSYS\.WM_CONCAT\s*\(

# 집합 연산자 (PostgreSQL 문법 차이)
MINUS_OPERATOR|MINUS
INTERSECT_OPERATOR|INTERSECT

# Oracle 시스템 함수들
USER|USER
UID|UID
USERENV|USERENV\s*\(
SYS_CONTEXT|SYS_CONTEXT\s*\(

# 정규식 함수들 (PostgreSQL 문법 차이)
REGEXP_LIKE|REGEXP_LIKE\s*\(
REGEXP_REPLACE|REGEXP_REPLACE\s*\(
REGEXP_SUBSTR|REGEXP_SUBSTR\s*\(
REGEXP_INSTR|REGEXP_INSTR\s*\(

# 분석 함수들
RATIO_TO_REPORT|RATIO_TO_REPORT\s*\(
PERCENT_RANK|PERCENT_RANK\s*\(
CUME_DIST|CUME_DIST\s*\(
PERCENTILE_CONT|PERCENTILE_CONT\s*\(
PERCENTILE_DISC|PERCENTILE_DISC\s*\(

# PL/SQL 관련
FORALL|FORALL\s+
BULK_COLLECT|BULK\s+COLLECT
CURSOR_FOR_LOOP|FOR\s+\w+\s+IN\s+\(
EXCEPTION_BLOCK|EXCEPTION\s*$
RAISE_APPLICATION_ERROR|RAISE_APPLICATION_ERROR\s*\(
PRAGMA|PRAGMA\s+
AUTONOMOUS_TRANSACTION|AUTONOMOUS_TRANSACTION

# 시퀀스 관련
SEQUENCE_NEXTVAL|\.NEXTVAL
SEQUENCE_CURRVAL|\.CURRVAL

# 데이터 타입 관련
NUMBER_TYPE|NUMBER\s*\(
VARCHAR2_TYPE|VARCHAR2\s*\(
CLOB_TYPE|CLOB
BLOB_TYPE|BLOB
